QuestionNumber,QuestionType,QuestionText,OptionA,OptionB,OptionC,OptionD,LeftItems,RightItems,CorrectMatches,Answer 1,Answer 2,Answer 3,BlankAnswers,Explanation
1,multiple-choice,The Static Assembler is used to address rules assembly issues due to which cause?  The server is managing a large number of rules caches. Access groups contain multiple production rulesets. A new application is migrated to the production system. The application record lists several branch rulesets.,,,,,,,,A,,,,"The Static Assembler is a Pega tool used to address rules assembly issues specifically when the server is managing a large number of rules caches. By pre-assembling rules into a static content, the Static Assembler helps in improving performance in situations where cache management becomes complex due to the volume of rules. It creates a set of static files that represents the assembled rules, which can reduce the overhead on the server during rule assembly and cache management."
2,multiple-choice,Which two actions do you perform when using the Performance Analyzer (PAL) to ensure that you obtain accurate performance data? (Choose Two)  Run the process to completion first to perform needed rule assembly and avoid skewed results. Capture PAL readings after significant changes to a process to identify any performance impact. Capture a PAL reading for a process with good performance to establish a benchmark for comparison. Run PAL as an end user to account for any performance differences due to the portal itself.,,,,,,,,A,B,,,"A: Running the process to completion before capturing PAL readings is important because it ensures that all the necessary rule assemblies have taken place. If you measure performance without doing this, the rule assembly might skew the results by adding additional overhead.  B: Capturing PAL readings after significant changes to a process helps in identifying any performance impacts due to those changes. This allows you to compare the performance data before and after changes to assess their impact."
3,multiple-choice,A user reports that an application takes five seconds to complete a step and present the next step in a process. Which tool allows you to gather and analyze performance data for the form submission?   Performance Profiler Performance Analyzer (PAL) Database Trace Tracer,,,,,,,,B,,,,"The Performance Analyzer (PAL) is the correct tool to gather and analyze performance data for the form submission that takes a significant amount of time. PAL tracks the interaction with the Pega Platform and provides metrics related to the performance of activities, rules, and system functions over time, which is essential for identifying the cause of the delay during form submission."
4,multiple-choice,Which two statements about guardrails are true? (Choose Two)  Each rule may have multiple guardrail warnings. Pega Platform performs guardrail examination when a rule is checked out. Pega Platform performs guardrail examination when a rule is saved. A developer receives a guardrail warning for rules checked out by other developers.,,,,,,,,A,C,,,A: Each rule in Pega can indeed have multiple guardrail warnings. These warnings indicate the degree to which the rule deviates from Pega's best practices. C: Pega Platform performs a guardrail examination when a rule is saved. This is to ensure that developers are immediately aware of any potential issues that may arise from the rule they are creating or modifying.
5,multiple-choice,Which three statements about the guardrail score are true? (Choose Three)  The Application Guardrails landing page counts the number of rules with severe or moderate guardrail warnings. Guardrail scores do not include Pega Platform core rules. The Application Guardrails landing page counts the number of rules with no warnings or caution- level guardrail warnings. A weighted compliance score above 90 signifies that an application is ready for general distribution. Rules with unjustified warnings are not counted in the compliance score.,,,,,,,,A,B,C,,"A: The Application Guardrails landing page does count the number of rules with severe or moderate warnings, as these can have a significant impact on the application's performance and maintainability. B: Guardrail scores exclude Pega Platform core rules since these are established by Pega and are assumed to be optimized. C: The landing page also counts the number of rules with no warnings or caution-level warnings, which contribute positively to the overall compliance score."
6,multiple-choice,"An assignment service-level agreement (SLA) is configured with the following details: Initial urgency: 20 Assignment ready: Timed delay of 1 hour Goal: 5 hours and increase urgency by 10 Deadline: 8 hours and increase urgency by 20 Passed deadline: 2 hours, increase urgency by 20, and limit events to 5 Assuming no other urgency adjustments, what is the assignment urgency 16 hours after the case reaches the assignment?  100 90 130 70",is configured with the following details: Initial urgency: 20,,,,,,,B,,,,"Sixteen hours after the case reaches the assignment, the assignment urgency is calculated as follows: Initial urgency (20) + Urgency after goal (10) + Urgency after deadline (20) + Urgency after passing the deadline (2 hours passed, urgency increases by 20, and this event repeats for the limit of 5 times, so 20x5=100). Adding these together: 20 + 10 + 20 + 100 = 150. However, since none of the options matches this calculation, there might be an error in the given options or a misinterpretation of the question. Based on the provided options, 90 would be the closest, indicating a possible oversight in the question."
7,multiple-choice,Which two configurations are required when adding a Split for Each shape to your case life cycle? (Choose Two)  Enter a rule that stores the audit note that you want to include in the subprocess Define when the parent process resumes processing Enter the Page List or Page Group property that is the basis of the split  Enable users to get back to the subprocess after the case moves forward,,,,,,,,B,C,,,"B: When adding a Split For Each shape to your case life cycle, you need to define when the parent process resumes processing. This can be after each iteration or after all iterations complete. C: You also need to specify the Page List or Page Group property that the split will iterate over. This determines the scope of the subprocesses that are to be created."
8,multiple-choice,You have a requirement to associate users in different units to the same work queue. How do you implement this requirement?  Associate the users to a common work group. Then associate a work queue to the work group. Associate the users to a common work group. Then associate the work group to the appropriate units. Associate the users to a common unit. Then associate a work queue to the common unit. Associate the users to a common work queue. Then associate the work queue to the appropriate units.,,,,,,,,A,,,,"To implement the requirement of associating users in different units to the same work queue, you associate the users to a common work group and then associate a work queue to that work group. This allows users from different units, who are part of the same work group, to access the same work queue."
9,multiple-choice,"During an Account review case, an accountant wants to evaluate the client's retirement plan. A Retirement planning case is created that runs in parallel with the Account review case. Neither case waits for nor reports to the other. To configure this workflow, which type of parallel processing shape do you use? A.    B.   C.   D.",B.,,D.,,,,,C,,,,"The correct configuration for two parallel cases that run independently is the Subprocess shape with the Spinoff flow option enabled (Option C). This allows the Retirement planning case to proceed in parallel without waiting for, or reporting to, the Account review case."
10,multiple-choice,You configure a child case to override the locking strategy of the parent case. The parent case has a time-out value of one hour. Which time-out value option is recommended for the child case?  Set the Access time-out value equal to the parent case time-out value. Set the Access time-out value less than the parent case time-out value. Set the Access time-out value greater than the parent case time-out value. The Access time-out value on the child case cannot be changed.,,,,,,,,C,,,,"The recommended practice is to set the Access time-out value for the child case to be greater than the parent case time-out value. This ensures that the child case does not become inaccessible due to a time-out while the parent case is still active, which could happen if it had the same or a shorter time-out value."
11,multiple-choice,"A hospital uses a Patient visit case type to track Emergency Room (ER) visits. The case type can create Lab analysis and Diagnostic imaging child cases. While the child cases are active, the attending doctor must be able to update the Patient visit case with notes. Which two configurations, when performed together, allow a doctor to update the parent case while staff work on the respective child cases? (Choose Two)  Configure the Patient visit case type to allow multiple users. Configure the Lab analysis and Diagnostic imaging case types to allow other users to open the parent case type. Configure the Lab analysis and Diagnostic imaging case types to allow one user. Configure the Patient visit case type to allow one user.",,,,,,,,A,B,,,"To enable the attending doctor to update the Patient visit case while the Lab analysis and Diagnostic imaging child cases are active, the following configurations are necessary: A: Configuring the Patient visit case type to allow multiple users ensures that more than one user can work on the case simultaneously, which would allow the doctor to update the case with notes even while the child cases are in progress. B: Configuring the Lab analysis and Diagnostic imaging case types to allow other users to open the parent case type ensures that opening the child cases does not lock the parent case, allowing the doctor to make updates concurrently."
12,multiple-choice,Which action can a Declare OnChange rule perform when a specified property changes?  Suspend the current work object Execute a data transform Update an activity Specify which flow action to run,,,,,,,,B,,,,"A Declare OnChange rule is designed to perform an action when a specified property changes. The action that a Declare OnChange rule can perform includes executing a data transform, which allows for the automated update of properties when a change is detected in the specified property."
13,multiple-choice,"In which scenario would a Declare OnChange rule be appropriate?  During a nightly backup process, only updated fields are backed up. When a developer changes a view, the change is checked into a development branch. When a user updates their address, the active case is suspended until the address can be confirmed. When a manager approves a case, the case is routed back to the appropriate case worker.",,,,,,,,D,,,,"A Declare OnChange rule is appropriate in a scenario where an immediate automatic response is required to a property change. For instance, when a manager approves a case (D), the case is routed back to the appropriate case worker. The OnChange rule can detect the approval and automatically perform the routing."
14,multiple-choice,"An application includes the following set of circumstanced instances of a decision table.   You update the application and increment the AccountManage ruleset version to 01-02-01. As part of this update, the circumstance .Status=""Silver"" is no longer needed by the application. How do you implement this change?  Create a new version of the circumstanced decision table in AccountManage:01-02-01 and select the Base rule option. Create a new version of the circumstanced decision table in AccountManage:01-02-01 and set the availability of the rule to Withdrawn. Create a new version of the circumstanced decision table in AccountManage:01-02-01 and set the availability of the rule to Blocked. Do nothing. Rule resolution does not consider rules in a lower minor version of a ruleset.",,,,,,,,C,,,,
15,multiple-choice,Which two rule types can you mark as a relevant record? (Choose Two)  Property Report Skin Section,,and Sections (D) can be marked as relevant records to easily access and modify these important rules.,,,,,,B,D,,,The rule types that you can mark as relevant records are those that are frequently referenced and are of high importance in the application. Reports (B) and Sections (D) can be marked as relevant records to easily access and modify these important rules.
16,multiple-choice,A class group is used to	.  identify a layer of the Enterprise Class Structure combine related properties by usage assign work to a specific group of users associate child classes with a single database table,,,,,,,,D,,,,"A class group is used to associate child classes with a single database table. This mechanism is known as class table inheritance, where instances of different but related concrete classes that belong to the same class group are stored in the same database table."
17,multiple-choice,"What is the difference between using the Call and Branch methods in an activity step to invoke other activities?  Call provides more robust debugging capability than Branch, while Branch provides better run- time performance. Branch overrides the security restrictions of the called activity allowing you to easily test code; it will not run in production. Branch creates a new thread to allow asynchronous processing, while Call runs in the thread from it was invoked. Call returns to the originating activity, while Branch skips the remainder of the originating activity.",,,,,,,,D,,,,"The difference between using the Call and Branch methods in an activity step to invoke other activities is that Call will return to the originating activity once the called activity completes, while Branch will not return to the originating activity and will skip the remainder of it after the called activity completes."
18,multiple-choice,"An application contains a flow action with an Apply to: class of TRB-HRApps-Work-Feedback in a locked ruleset. When updating the application, you save the existing flow action into a new minor version of the ruleset this time applied to TRB'HRApps-Work so it can be used by more than one case type. How do you prevent the application from using the rule in TRB-HRApps-Work-Feedback?  Save an additional new version of the flow action applied to TRB-HRApps-Work-Feedback and set the availability to ""Blocked"". Save an additional new version of the flow action applied to TRB-HRApps-Work-Feedback and set the availability to ""Withdrawn"". Save an additional new version of the flow action applied to TRB-HRApps-Work-Feedback and set the availability to ""Not available"". Save an additional new version of the flow action applied to TRB-HRApps-Work and set the availability to ""Final"".",,,,,,,,B,,,,"To prevent the application from using the rule in TRB-HRApps-Work-Feedback, you would save an additional new version of the flow action applied to TRB-HRApps-Work-Feedback and set the availability to ""Withdrawn"". This marks the rule as no longer valid for use in the application."
19,multiple-choice,"A medium-size toymaker wants to fulfill orders received during the peak season in December and process the orders in batches multiple times a day. How do you implement this use case?  Create one scheduled job and set its run schedule to multiple times a day. Create scheduled jobs, one for each run, that can process accumulated orders. Create batches of orders and send each batch for processing when it gets full. Create a queue processor that can process orders received by the company.",,,,,,,,D,,,,"To fulfill orders received during the peak season in December and process the orders in batches multiple times a day, you would create a queue processor that can process orders received by the company. Queue processors are designed to handle asynchronous, high- volume processing, which is suitable for the described use case."
20,multiple-choice,"DRAG DROP (Drag and Drop is not supported) In the Answer Area, drag each log name on the left to its intended purpose on the right.  See Explanation section for answer.",,,,,,,,A,,,,
21,multiple-choice,"A travel reservation servicing case includes a service level for responding to requests. The service level intervals vary according to passenger status, class of service, and fare type. Which implementation satisfies this requirement?  Create a multivariate circumstanced rule and a when rule. Create a multivariate circumstanced rule, a circumstance definition, and a circumstance template. Create a single property circumstanced rule and a when rule.  Create a single property circumstanced rule.",,,,,,,,B,,,,"To satisfy the requirement where service level intervals vary according to multiple criteria (passenger status, class of service, and fare type), you would create a multivariate circumstanced rule, a circumstance definition, and a circumstance template. This allows you to create SLAs that vary based on the combination of these criteria."
22,multiple-choice,"In your purchasing application, you use a decision table with vendor discount codes. You want to delegate the decision table. In which ruleset do you save the decision table to allow delegation?  Organization Integration Production Application",,,,,,,,C,,,,"To allow delegation of a decision table, you should save it in a Production ruleset. Production rulesets are designed to hold rules that business users can modify directly in a production environment, which includes delegated rules."
23,multiple-choice,"You are preparing to create a new major version of an application ruleset in which there are multiple minor and patch versions. How do you create the new ruleset version?  Use the Ruleset Maintenance wizard to skim the relevant ruleset versions to copy the highest version of existing rules to the new ruleset version. Use the Ruleset Maintenance wizard to merge the existing rules in the relevant ruleset versions to the new version. Use the Application Structure landing page to lock and roll the existing ruleset versions to the new version. Create a new application ruleset using the appropriate version number, then copy the highest version of existing rules into the new ruleset version.",,,,,,,,A,,,,"When creating a new major version of an application ruleset, you would use the Ruleset   Maintenance wizard to skim the relevant ruleset versions. This process copies the highest version of existing rules to the new ruleset version, effectively creating the new major version."
24,multiple-choice,"HOTSPOT (Drag and Drop is not supported) The current version of an application lists ABC:02-02 as an application ruleset. The ruleset versions listed in the Answer Area are also present on the system. In the Answer Area, identify the ruleset versions that the skim operation considers when you perform a major version ruleset skim on ruleset ABC.   See Explanation section for answer.",,,See Explanation section for answer.,,,,,A,,,,No YES YES NO
25,multiple-choice,Which two configurations can you use to include access groups into your Product rule? (Choose Two)  Associate the access groups with a ruleset included in the application. Export the access groups using the Access Manager.  Add the access groups to the application definition. Add the access group to the Product record in the Individual instances to include section.,,,,,,,,A,D,,,"To include access groups in your Product rule, you can: A: Associate the access groups with a ruleset included in the application. This ensures that when the ruleset is included in the product rule, the associated access groups are also included. D: Add the access group directly to the Product record in the Individual instances to include section. This allows you to specifically select which access groups to include in the product rule."
26,multiple-choice,Multiple teams need to update the same application version during a development cycle. Which two actions do you perform so that the teams do not affect each other's work? (Choose Two)  Create a new ruleset version for the base application. Create branches in each team's application. Create a separate production ruleset for each team. Create a new application for each team built on the base application.,,,,,,,,B,D,,,"To ensure that multiple teams can update the same application version without affecting each other's work, the following actions are recommended: B: Create branches for each team's application. This allows teams to work on isolated versions of the application and merge their changes when ready. D: Create a new application for each team built on the base application. This creates separate instances of the application for each team to work on, which they can then synchronize with the base application as needed."
27,multiple-choice,The primary purpose of a production ruleset is to allow rules to be  tested in a production environment updated in a production environment reused in multiple production environments migrated to a production environment,,,,,,,,B,,,,"The primary purpose of a production ruleset is to allow rules to be updated in a production  environment. Production rulesets are designed to hold rules that business users can modify directly in a production environment without requiring a deployment from development through testing environments. This enables quick changes to be made to decision tables, correspondence, and other rule types that business users are permitted to change."
28,multiple-choice,Which two statements are true about database tables in Pega Platform? (Choose Two)  The PegaRULES database contains rules while PegaDATA contains work instances. The Database Table rule allows configuration of a connection to a specific table. The History record table contains a record of when each user logged in to the system. The report definition rule should only be used against one table for performance reasons.,,,,,,,,A,B,,,"A: In Pega Platform, the PegaRULES database is used to store rules, while the PegaDATA database contains work instances and other data instances. B: The Database Table rule in Pega allows you to configure the connection settings to a specific external database table, facilitating the interaction with external data sources."
29,multiple-choice,What is the function of class mapping for reports?  Ensure all data from one report belongs to a single Case type instance. Create a new Database table record for a Pega Platform class. Assign an ID to a class so reports can reference specific properties. Retrieve data from an associated database table.,,,,,,,,D,,,,"The function of class mapping for reports is to retrieve data from an associated database table. Class mapping determines which table data is pulled from when running a report, ensuring that the report includes the appropriate data based on the class structure."
30,multiple-choice,A report needs to list the user ID of the manager of the operator who creates a time-off case. The report provides information from the MyCo-HR-SelfService-Work-TimeOff and Data-Admin- Operator-ID classes. Which two options independently satisfy the business outcome? (Choose Two)  Configure a class join on the report definition to join operator information to each case.  Add the operator ID to the report definition as a parameter. Use an association rule to join operator information to each case. Specify both classes in the Pages & Classes tab on the report definition.,,,,,,,,A,C,,,"A: Configuring a class join on the report definition allows you to join the operator information to each case, enabling you to list the user ID of the manager associated with the operator who creates a time-off case. C: Using an association rule to join operator information to each case accomplishes the same objective by defining a reusable join that can be referenced in multiple reports."
31,multiple-choice,"An application contains the class group MyCo-HR-SelfService-Work. There are two classes derived from Work- class:   If a report is created in MyCo-HR-SelfService-Work, what instances will the report return?  Instances of MyCo-HR-SeifService-Work-TimeOffana' MyCo-HR-SelfService-Work-Expense, unless they are stored in different database tables Instances of all Work- derived classes Instances of MyCo-HR-SelfService-Work Instances of MyCo-HR-SelfService-Work-TimeOff and MyCo-HR-SelfService-Work-Expense",,,,,,,,A,,,,"When a report is created in a class group (MyCo-HR-SelfService-Work), it will return instances of its child classes (MyCo-HR-SelfService-Work-TimeOff and MyCo-HR-SelfService-Work- Expense) unless those child classes are stored in different database tables due to class table inheritance or other data storage configurations."
